Sample,Response,RT,Correct,participant,session,gender,date,
8020,,,0,,001,,"November 30, 2018",
3070,,,0,,001,,"November 30, 2018",
8020,,,0,,001,,"November 30, 2018",
4060,,,0,,001,,"November 30, 2018",
8020,,,0,,001,,"November 30, 2018",
0100,,,0,,001,,"November 30, 2018",
3070,,,0,,001,,"November 30, 2018",
1090,,,0,,001,,"November 30, 2018",
9010,,,0,,001,,"November 30, 2018",
6040,,,0,,001,,"November 30, 2018",
2080,,,0,,001,,"November 30, 2018",
8020,,,0,,001,,"November 30, 2018",
1000,,,0,,001,,"November 30, 2018",
1000,,,0,,001,,"November 30, 2018",
9010,,,0,,001,,"November 30, 2018",
2080,,,0,,001,,"November 30, 2018",
1090,,,0,,001,,"November 30, 2018",
1000,,,0,,001,,"November 30, 2018",
1000,,,0,,001,,"November 30, 2018",
0100,,,0,,001,,"November 30, 2018",
4060,,,0,,001,,"November 30, 2018",
9010,,,0,,001,,"November 30, 2018",
0100,,,0,,001,,"November 30, 2018",
1000,,,0,,001,,"November 30, 2018",
1090,,,0,,001,,"November 30, 2018",
1000,,,0,,001,,"November 30, 2018",
9010,,,0,,001,,"November 30, 2018",
3070,,,0,,001,,"November 30, 2018",
4060,,,0,,001,,"November 30, 2018",
1000,,,0,,001,,"November 30, 2018",
9010,,,0,,001,,"November 30, 2018",
3070,,,0,,001,,"November 30, 2018",
3070,,,0,,001,,"November 30, 2018",
7030,,,0,,001,,"November 30, 2018",
1090,,,0,,001,,"November 30, 2018",
1000,,,0,,001,,"November 30, 2018",
8020,,,0,,001,,"November 30, 2018",
1090,,,0,,001,,"November 30, 2018",
4060,,,0,,001,,"November 30, 2018",
9010,,,0,,001,,"November 30, 2018",
1090,,,0,,001,,"November 30, 2018",
2080,,,0,,001,,"November 30, 2018",
8020,,,0,,001,,"November 30, 2018",
1000,,,0,,001,,"November 30, 2018",
7030,,,0,,001,,"November 30, 2018",
8020,,,0,,001,,"November 30, 2018",
1000,,,0,,001,,"November 30, 2018",
8020,,,0,,001,,"November 30, 2018",
2080,,,0,,001,,"November 30, 2018",
9010,,,0,,001,,"November 30, 2018",
1090,,,0,,001,,"November 30, 2018",
1000,,,0,,001,,"November 30, 2018",
3070,,,0,,001,,"November 30, 2018",
3070,,,0,,001,,"November 30, 2018",
1090,,,0,,001,,"November 30, 2018",
4060,,,0,,001,,"November 30, 2018",
7030,,,0,,001,,"November 30, 2018",
7030,,,0,,001,,"November 30, 2018",
7030,,,0,,001,,"November 30, 2018",
9010,,,0,,001,,"November 30, 2018",
0100,,,0,,001,,"November 30, 2018",
0100,,,0,,001,,"November 30, 2018",
2080,,,0,,001,,"November 30, 2018",
6040,,,0,,001,,"November 30, 2018",
0100,,,0,,001,,"November 30, 2018",
6040,,,0,,001,,"November 30, 2018",
3070,,,0,,001,,"November 30, 2018",
1090,,,0,,001,,"November 30, 2018",
1000,,,0,,001,,"November 30, 2018",
7030,,,0,,001,,"November 30, 2018",
9010,,,0,,001,,"November 30, 2018",
7030,,,0,,001,,"November 30, 2018",
1090,,,0,,001,,"November 30, 2018",
1000,,,0,,001,,"November 30, 2018",
0100,,,0,,001,,"November 30, 2018",
0100,,,0,,001,,"November 30, 2018",
8020,,,0,,001,,"November 30, 2018",
4060,,,0,,001,,"November 30, 2018",
1000,,,0,,001,,"November 30, 2018",
4060,,,0,,001,,"November 30, 2018",
2080,,,0,,001,,"November 30, 2018",
1090,,,0,,001,,"November 30, 2018",
0100,,,0,,001,,"November 30, 2018",
2080,,,0,,001,,"November 30, 2018",
6040,,,0,,001,,"November 30, 2018",
0100,,,0,,001,,"November 30, 2018",
6040,,,0,,001,,"November 30, 2018",
1000,,,0,,001,,"November 30, 2018",
8020,,,0,,001,,"November 30, 2018",
8020,,,0,,001,,"November 30, 2018",
1090,,,0,,001,,"November 30, 2018",
1000,,,0,,001,,"November 30, 2018",
7030,,,0,,001,,"November 30, 2018",
1090,,,0,,001,,"November 30, 2018",
9010,,,0,,001,,"November 30, 2018",
1090,,,0,,001,,"November 30, 2018",
2080,,,0,,001,,"November 30, 2018",
2080,,,0,,001,,"November 30, 2018",
7030,,,0,,001,,"November 30, 2018",
0100,,,0,,001,,"November 30, 2018",
3070,,,0,,001,,"November 30, 2018",
4060,,,0,,001,,"November 30, 2018",
1000,,,0,,001,,"November 30, 2018",
6040,,,0,,001,,"November 30, 2018",
6040,,,0,,001,,"November 30, 2018",
3070,,,0,,001,,"November 30, 2018",
8020,,,0,,001,,"November 30, 2018",
6040,,,0,,001,,"November 30, 2018",
7030,,,0,,001,,"November 30, 2018",
0100,,,0,,001,,"November 30, 2018",
1090,,,0,,001,,"November 30, 2018",
6040,,,0,,001,,"November 30, 2018",
6040,,,0,,001,,"November 30, 2018",
1090,,,0,,001,,"November 30, 2018",
4060,,,0,,001,,"November 30, 2018",
1090,,,0,,001,,"November 30, 2018",
2080,,,0,,001,,"November 30, 2018",
3070,,,0,,001,,"November 30, 2018",
8020,,,0,,001,,"November 30, 2018",
7030,,,0,,001,,"November 30, 2018",
3070,,,0,,001,,"November 30, 2018",
1000,,,0,,001,,"November 30, 2018",
2080,,,0,,001,,"November 30, 2018",
2080,,,0,,001,,"November 30, 2018",
2080,,,0,,001,,"November 30, 2018",
