Sample,Response,RT,Correct,participant,session,gender,experiment_name,date,
2080,,,0,GF,001,male,cognitive flex,"February 07, 2019",
2080,m,1.2608659670000009,1,GF,001,male,cognitive flex,"February 07, 2019",
2080,m,1.5145149460000198,1,GF,001,male,cognitive flex,"February 07, 2019",
4060,m,2.2158555709999916,1,GF,001,male,cognitive flex,"February 07, 2019",
4060,m,1.4983585259999757,1,GF,001,male,cognitive flex,"February 07, 2019",
2080,m,0.9420345569999995,1,GF,001,male,cognitive flex,"February 07, 2019",
4060,m,1.595871834999997,1,GF,001,male,cognitive flex,"February 07, 2019",
2080,m,0.9190792050000027,1,GF,001,male,cognitive flex,"February 07, 2019",
4060,m,1.5276179569999897,1,GF,001,male,cognitive flex,"February 07, 2019",
2080,m,0.9285574779999877,1,GF,001,male,cognitive flex,"February 07, 2019",
